itemnum,asset
NA100064,N/A
,
NA100193,N/A
,
NA100255,N/A
NA100255,N/A
NA100255,N/A
NA100255,N/A
NA100255,N/A
,
NA100316,AS465491
,
NA100712,AS465492
NA100712,AS465493
NA100712,AS465494
NA100712,AS465495
NA100712,AS465496
NA100712,AS465497
NA100712,AS465498
NA100712,AS465499
NA100712,AS465500
NA100712,AS465501
NA100712,AS465502
NA100712,AS465503
NA100712,AS465504
NA100712,AS465505
NA100712,AS465506
NA100712,AS465507
NA100712,AS465508
NA100712,AS465509
NA100712,AS465510
NA100712,AS465511
NA100712,AS465512
,
NA100749,AS465513
NA100749,AS465514
,
NA100849,N/A
NA100849,N/A
,
NA101562,AS465515
,
NA101585,AS465516
NA101585,AS465517
NA101585,AS465516
NA101585,AS465517
NA101585,AS465516
NA101585,AS465517
,
NA304031,N/A
,
NA332449,N/A
NA332449,N/A
,
NA33273,AS465518
NA33273,AS465519
NA33273,AS465520
NA33273,AS465521
NA33273,AS465522
NA33273,AS465523
NA33273,AS465524
NA33273,AS465525
NA33273,AS465526
NA33273,AS465527
NA33273,AS465528
NA33273,AS465529
NA33273,AS465530
NA33273,AS465531
NA33273,AS465532
NA33273,AS465533
NA33273,AS465534
NA33273,AS465535
NA33273,AS465536
NA33273,AS465537
NA33273,AS465538
NA33273,AS465539
NA33273,AS465540
NA33273,AS465541
NA33273,AS465542
NA33273,AS465543
NA33273,AS465544
NA33273,AS465545
NA33273,AS465546
NA33273,AS465547
NA33273,AS465548
NA33273,AS465549
NA33273,AS465550
NA33273,AS465551
NA33273,AS465552
NA33273,AS465553
NA33273,AS465554
NA33273,AS465555
NA33273,AS465556
NA33273,AS465557
NA33273,AS465558
NA33273,AS465559
NA33273,AS465560
NA33273,AS465561
NA33273,AS465562
NA33273,AS465563
NA33273,AS465564
NA33273,AS465565
NA33273,AS465566
NA33273,AS465567
NA33273,AS465568
NA33273,AS465569
NA33273,AS465518
NA33273,AS465519
NA33273,AS465520
NA33273,AS465521
NA33273,AS465522
NA33273,AS465523
NA33273,AS465524
NA33273,AS465525
NA33273,AS465526
NA33273,AS465527
NA33273,AS465528
NA33273,AS465529
NA33273,AS465530
NA33273,AS465531
NA33273,AS465532
NA33273,AS465533
NA33273,AS465534
NA33273,AS465535
NA33273,AS465536
NA33273,AS465537
NA33273,AS465538
NA33273,AS465539
NA33273,AS465540
NA33273,AS465541
NA33273,AS465542
NA33273,AS465543
NA33273,AS465544
NA33273,AS465545
NA33273,AS465546
NA33273,AS465547
NA33273,AS465548
NA33273,AS465549
NA33273,AS465550
NA33273,AS465551
NA33273,AS465552
NA33273,AS465553
NA33273,AS465554
NA33273,AS465555
NA33273,AS465556
NA33273,AS465557
NA33273,AS465558
NA33273,AS465559
NA33273,AS465560
NA33273,AS465561
NA33273,AS465562
NA33273,AS465563
NA33273,AS465564
NA33273,AS465565
NA33273,AS465566
NA33273,AS465567
NA33273,AS465568
NA33273,AS465569
NA33273,AS465518
NA33273,AS465519
NA33273,AS465520
NA33273,AS465521
NA33273,AS465522
NA33273,AS465523
NA33273,AS465524
NA33273,AS465525
NA33273,AS465526
NA33273,AS465527
NA33273,AS465528
NA33273,AS465529
NA33273,AS465530
NA33273,AS465531
NA33273,AS465532
NA33273,AS465533
NA33273,AS465534
NA33273,AS465535
NA33273,AS465536
NA33273,AS465537
NA33273,AS465538
NA33273,AS465539
NA33273,AS465540
NA33273,AS465541
NA33273,AS465542
NA33273,AS465543
NA33273,AS465544
NA33273,AS465545
NA33273,AS465546
NA33273,AS465547
NA33273,AS465548
NA33273,AS465549
NA33273,AS465550
NA33273,AS465551
NA33273,AS465552
NA33273,AS465553
NA33273,AS465554
NA33273,AS465555
NA33273,AS465556
NA33273,AS465557
NA33273,AS465558
NA33273,AS465559
NA33273,AS465560
NA33273,AS465561
NA33273,AS465562
NA33273,AS465563
NA33273,AS465564
NA33273,AS465565
NA33273,AS465566
NA33273,AS465567
NA33273,AS465568
NA33273,AS465569
NA33273,AS465518
NA33273,AS465519
NA33273,AS465520
NA33273,AS465521
NA33273,AS465522
NA33273,AS465523
NA33273,AS465524
NA33273,AS465525
NA33273,AS465526
NA33273,AS465527
NA33273,AS465528
NA33273,AS465529
NA33273,AS465530
NA33273,AS465531
NA33273,AS465532
NA33273,AS465533
NA33273,AS465534
NA33273,AS465535
NA33273,AS465536
NA33273,AS465537
NA33273,AS465538
NA33273,AS465539
NA33273,AS465540
NA33273,AS465541
NA33273,AS465542
NA33273,AS465543
NA33273,AS465544
NA33273,AS465545
NA33273,AS465546
NA33273,AS465547
NA33273,AS465548
NA33273,AS465549
NA33273,AS465550
NA33273,AS465551
NA33273,AS465552
NA33273,AS465553
NA33273,AS465554
NA33273,AS465555
NA33273,AS465556
NA33273,AS465557
NA33273,AS465558
NA33273,AS465559
NA33273,AS465560
NA33273,AS465561
NA33273,AS465562
NA33273,AS465563
NA33273,AS465564
NA33273,AS465565
NA33273,AS465566
NA33273,AS465567
NA33273,AS465568
NA33273,AS465569
NA33273,AS465518
NA33273,AS465519
NA33273,AS465520
NA33273,AS465521
NA33273,AS465522
NA33273,AS465523
NA33273,AS465524
NA33273,AS465525
NA33273,AS465526
NA33273,AS465527
NA33273,AS465528
