itemnum,Description,Magasin,Casier par défaut,Fabricant,Fabricant Description,Numéro de pièce du fabricant,Tournant
NA100193,"Filtre, Antenne, Sinclair FP20107-3 - Cavité de bande passante à haute impédance",L101MAG,308-C-12,,,,N
NA34073,"Boîte d'accord, Antenne, Nautel NX2000TUB",L101MAG,307-D-22,,,,O
NA361072,"Monture, Isolation - Vibration",L101MAG,405-D-38,,,,N
NA510718,"Émetteur/récepteur, Icom IC-M302 - VHF/FM",L101MAG,409-B-24,,,,O
NA510643,"Antenne, Satellite, Sea Tel WaveCall 4006",L101MAG,COURS EXTERIEUR,,,,O
NA501033,"Routeur de réseaux, D-Link DI-704P",L101MAG,308-E-10,,,,O
NA100712,"FEU, BALISE. LENTILLES EN ACRYLIQUE ML155, 155 MM",L101MAG,312-A-20,,,,O
NA101562,"Commutateur, Réseau, Allied Telesyn AT-FS708",L101MAG,308-D-22,,,,O
NA101585,"PROJECTEUR, RECHERCHE",L101MAG,317-A-11,,,,O
NA503726,"Jeu, Segments de piston, ALCO NP 24200512 - Jeu de 5",L101MAG,301-A-34,,,,N
NA100849,MIROIR PARABOLIQUE,L101MAG,311-E-32,,,,N
NA100064,"IMPRIMANTE,TRAITEMENT AUTOMATIQUE DES DONNÉES.--Sailor H1252B--, IMPRIMANTE PARALLELE, 12/24 V POUR SYSTEME SMDSM MINI-C 6110,",L101MAG,302-F-14,,,,N
NA364093,Jeu de pièces - Remplacement de joint d'étanchéité,L101MAG,405-C-40,,,,N
NA414996,"Bague, Arbre à cames, ALCO NP 2161332, 4.500 x 2.6875 po",L101MAG,301-A-034,,,,N
NA502774,"Câble Coaxial, Andrew LDF4-50A - 1/2"" Heliax",L101MAG,309-A-03,,,,N
NA504508,"Routeur de réseaux, Cisco 3825",L101MAG,303-D-14,,,,O
NA504607,LOQUETEAU À ENCASTRER,L101MAG,319-C-12,,,,N
NA414963,"Demi-coussinet, ALCO NP 21410166",L101MAG,301-A-34,,,,N
NA100255,"CABOCHON/GLACE, APPAREIL LUMINEUX",L101MAG,311-E-22,,,,N
NA504608,"Latch - Levier du loquet,  Stainless Steel - Acier inoxydable",L101MAG,319-C-12,,,,N
NA100749,"Unité centrale de traitement, Intel PSBC665",L101MAG,305-G-14,,,,O
NA332449,"CÂBLE ÉLECTRIQUE, USAGE SPÉCIAL",L101MAG,305-E-27,,,,N
NA510925,"TRANSMISSION, HORS-BORD, MARINE",L101MAG,414-G-34,,,,O
NA511572,"FEU, BALISE.--MaxLED-200--, Lanterne marine,",L101MAG,312-C-03,,,,O
NA510318,"Coussin, Accoudoir, Stidd Systems NP 510-7-210",L101MAG,319-A-11,,,,N
NA503984,"ANTENNE. --65606A-- , SCANNEUR 6PI, RADAR X-BAND RADAR POUR BRIDGEMASTER & VISIONMASTER",L101MAG,311-FIN DÈTAGERE,,,,O
NA503414,"JOINT. ÉTANCHÉITÉ INCORPORÉE, FIBREUSE, UTILISÉE SUR MOTEUR CATERPILLAR",L101MAG,318-F-14,,,,N
NA503418,"JOINT. S'APPLIQUE AU COUDE D'ÉCHAPPEMENT, CATERPILLAR",L101MAG,318-E-17,,,,N
NA501061,"Bloc d'alimentation, Powerware FE1_4KVA",L101MAG,310-A-10,,,,O
NA510314,"Ordinateur, Serveur, IBM Series x336 NP 883741U",L101MAG,308-D-21,,,,O
NA503421,JOINT D'ÉTANCHÉITÉ QUATRE LOBES,L101MAG,318-F-13,,,,N
NA503423,"Cheville, Caterpillar 3196 NP 123-0495",L101MAG,318-F-11,,,,N
NA503426,"Capuchon, Radiateur, Caterpillar 3196 NP 036-1865",L101MAG,318-E-06,,,,N
NA100316,"Moteur, Diesel, Lister HL4",L101MAG,311-A-11,,,,O
NA505789,"Parafoudre, PolyPhaser DGXZ+06NFNF-A-RF",L101MAG,308-A-10,,,,N
NA504542,JOINT,L101MAG,318-E-07,,,,N
NA511285,"VIS, À MÉTAUX. VIS D'ASSEMBLAGE À TÊTE CREUSE AVEC PASTILLE, 1/4 20 X 1,0 ACIER INOXYDABLE",L101MAG,318-E-05,,,,N
NA304031,"Écrou,  Pilgrim - Filet trapézoïdal",L101MAG,404-D-17,,,,N
NA508202,"Antenne, HF, Valcom V-132FT - Fouet, 36.5ft",L101MAG,COURS EXTERIEUR,,,,N
NA510305,"Kit, Repair - Trousse, Réparation, Gilman Corporation - PN 47 MLB-011-SR-1",L101MAG,317-F-15,,,,N
NA508399,"Moteur, Hors bord, Yamaha 25MLH - 25 CV",L101MAG,408-D-13,,,,O
NA513675,"Répartiteur, Vidéo, Black Box AC1056-4",L101MAG,308-E-16,,,,N
NA509459,"JOINT. DE PORTE 007/010/0, UTILISÉE SUR LES NAVIRES DE CLASSE MBL",L101MAG,317-E-05,,,,N
NA501867,"ALIMENTATION. CONVERTISSEUR C.C./C.C. ISOLÉ, ENTRÉE 24 V C.C., SORTIE 12 V C.C. 40A/45A,",L101MAG,317-D-08,,,,O
NA505584,"Routeur de réseaux, Cisco 2811",L101MAG,303-D-14,,,,O
NA513741,"SERVEUR, TRAITEMENT AUTOMATIQUE DE DONNÉES. GESTION À DISTANCE",L101MAG,301-F-05,,,,O
NA500288,"MOTEUR, DIESEL",L101MAG,103-A-20,,,,O
NA510980,"BÂTI, ÉQUIPEMENT ÉLECTRIQUE. PAIRE DE PANNEAUX LATÉRAUX 69,9 X 20,1 X 0,8 PO BEIGE/GRIS",L101MAG,308-A-39,,,,N
NA507533,"Ligne, multiplexeur, Micom Marathon 5KT PRO",L101MAG,308-A-27,,,,O
NA511553,ANTENNE,L101MAG,301-D-01,,,,N
NA512555,"SYSTÈME DE NAVIGATION, SIGNAUX SATELLITES. RÉCEPTEUR, GPS, TRACEUR,",L101MAG,302-F-12,,,,O
NA419471,"Pompe à carburant, ALCO NP 23202810",L101MAG,301-E-30,,,,N
NA510536,"Câble, Coaxial, Times Microwave LMR400",L101MAG,301-A-05,,,,N
NA513179,JOINT SCELLÉ,L101MAG,410-A-07,,,,N
NA504391,POMPE À EAU DE MER BRUTE,L101MAG,319-A-09,,,,N
NA514098,"FEU, BALISE. LANTERNE MARINE IML200 IB, DEL",L101MAG,312-C-04,,,,O
NA504394,PLAQUE D'USURE,L101MAG,318-E-02,,,,N
NA513802,"Reservoir, direction hydraulique, Hypro Marine - PN HM2042, 12V",L101MAG,319-C-06,,,,N
